DataType,Size,ShellTimeSec,QsTimeSec,QsortTimeSec
Random,10000,0.002000,0.000000,0.001000
Random,25000,0.009000,0.001000,0.002000
Random,50000,0.035000,0.002000,0.004000
Random,100000,0.134000,0.005000,0.008000
Ascending,10000,0.000000,0.000000,0.000000
Ascending,25000,0.000000,0.000000,0.001000
Ascending,50000,0.000000,0.001000,0.001000
Ascending,100000,0.000000,0.001000,0.003000
Descending,10000,0.003000,0.000000,0.000000
Descending,25000,0.018000,0.000000,0.001000
Descending,50000,0.092000,0.000000,0.002000
Descending,100000,0.270000,0.000000,0.003000
HalfAscHalfDesc,10000,0.001000,0.000000,0.000000
HalfAscHalfDesc,25000,0.004000,0.001000,0.000000
HalfAscHalfDesc,50000,0.017000,0.000000,0.001000
HalfAscHalfDesc,100000,0.066000,0.001000,0.003000
